order_number,customer_key,product_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO43727,5608,16,1/5/2011,1/12/2011,1/17/2011,3578,1,3578
SO43728,16667,18,1/6/2011,1/13/2011,1/18/2011,3578,1,3578
SO43729,239,9,1/6/2011,1/13/2011,1/18/2011,3400,1,3400
SO43730,14862,9,1/6/2011,1/13/2011,1/18/2011,3400,1,3400
SO43731,5630,19,1/6/2011,1/13/2011,1/18/2011,3578,1,3578
SO43732,26,5,1/6/2011,1/13/2011,1/18/2011,3375,1,3375
SO43733,16578,17,1/6/2011,1/13/2011,1/18/2011,3578,1,3578
SO43734,16605,17,1/7/2011,1/14/2011,1/19/2011,3578,1,3578
SO43735,5523,20,1/7/2011,1/14/2011,1/19/2011,3578,1,3578
SO43736,3,9,1/7/2011,1/14/2011,1/19/2011,3400,1,3400
SO43737,2262,16,1/8/2011,1/15/2011,1/20/2011,3578,1,3578
SO43738,607,17,1/8/2011,1/15/2011,1/20/2011,3578,1,3578
SO43739,2564,20,1/8/2011,1/15/2011,1/20/2011,3578,1,3578
SO43740,5528,17,1/8/2011,1/15/2011,1/20/2011,3578,1,3578
SO43741,16672,20,1/9/2011,1/16/2011,1/21/2011,3578,1,3578
SO43742,2577,19,1/9/2011,1/16/2011,1/21/2011,3578,1,3578
SO43743,8,10,1/9/2011,1/16/2011,1/21/2011,3400,1,3400
SO43744,5632,18,1/9/2011,1/16/2011,1/21/2011,3578,1,3578
SO43745,5515,16,1/10/2011,1/17/2011,1/22/2011,3578,1,3578
SO43746,5617,17,1/10/2011,1/17/2011,1/22/2011,3578,1,3578
SO43747,16624,19,1/11/2011,1/18/2011,1/23/2011,3578,1,3578
SO43748,16626,18,1/11/2011,1/18/2011,1/23/2011,3578,1,3578
SO43749,16637,19,1/11/2011,1/18/2011,1/23/2011,3578,1,3578
SO43750,592,16,1/11/2011,1/18/2011,1/23/2011,3578,1,3578
SO43751,593,18,1/11/2011,1/18/2011,1/23/2011,3578,1,3578
SO43752,2266,16,1/11/2011,1/18/2011,1/23/2011,3578,1,3578
SO43753,5483,20,1/11/2011,1/18/2011,1/23/2011,3578,1,3578
SO43754,16618,17,1/12/2011,1/19/2011,1/24/2011,3578,1,3578
SO43755,16671,16,1/12/2011,1/19/2011,1/24/2011,3578,1,3578
SO43756,8942,39,1/12/2011,1/19/2011,1/24/2011,699,1,699
SO43757,18,5,1/12/2011,1/19/2011,1/24/2011,3375,1,3375
SO43758,16647,20,1/13/2011,1/20/2011,1/25/2011,3578,1,3578
SO43759,2258,20,1/13/2011,1/20/2011,1/25/2011,3578,1,3578
SO43760,5353,19,1/13/2011,1/20/2011,1/25/2011,3578,1,3578
SO43761,5494,20,1/13/2011,1/20/2011,1/25/2011,3578,1,3578
SO43762,16579,19,1/14/2011,1/21/2011,1/26/2011,3578,1,3578
SO43763,5526,18,1/14/2011,1/21/2011,1/26/2011,3578,1,3578
SO43764,5613,20,1/14/2011,1/21/2011,1/26/2011,3578,1,3578
SO43765,11,9,1/14/2011,1/21/2011,1/26/2011,3400,1,3400
SO43766,5519,18,1/15/2011,1/22/2011,1/27/2011,3578,1,3578
SO43767,2,5,1/15/2011,1/22/2011,1/27/2011,3375,1,3375
SO43768,16650,17,1/16/2011,1/23/2011,1/28/2011,3578,1,3578
SO43769,10660,17,1/16/2011,1/23/2011,1/28/2011,3578,1,3578
SO43770,16615,17,1/16/2011,1/23/2011,1/28/2011,3578,1,3578
SO43771,3560,44,1/16/2011,1/23/2011,1/28/2011,699,1,699
SO43772,5525,17,1/16/2011,1/23/2011,1/28/2011,3578,1,3578
SO43773,5527,19,1/16/2011,1/23/2011,1/28/2011,3578,1,3578
SO43774,5349,18,1/16/2011,1/23/2011,1/28/2011,3578,1,3578
SO43775,28,10,1/16/2011,1/23/2011,1/28/2011,3400,1,3400
SO43776,2261,19,1/17/2011,1/24/2011,1/29/2011,3578,1,3578
SO43777,5516,16,1/17/2011,1/24/2011,1/29/2011,3578,1,3578
SO43778,19,8,1/17/2011,1/24/2011,1/29/2011,3400,1,3400
SO43779,14253,42,1/17/2011,1/24/2011,1/29/2011,699,1,699
SO43780,600,16,1/18/2011,1/25/2011,1/30/2011,3578,1,3578
SO43781,5496,17,1/18/2011,1/25/2011,1/30/2011,3578,1,3578
SO43782,5517,17,1/18/2011,1/25/2011,1/30/2011,3578,1,3578
SO43783,5621,17,1/18/2011,1/25/2011,1/30/2011,3578,1,3578
SO43784,16668,20,1/19/2011,1/26/2011,1/31/2011,3578,1,3578
SO43785,602,16,1/19/2011,1/26/2011,1/31/2011,3578,1,3578
SO43786,608,16,1/19/2011,1/26/2011,1/31/2011,3578,1,3578
SO43787,18386,7,1/19/2011,1/26/2011,1/31/2011,3400,1,3400
SO43788,240,6,1/19/2011,1/26/2011,1/31/2011,3375,1,3375
SO43789,14866,6,1/19/2011,1/26/2011,1/31/2011,3375,1,3375
SO43790,14858,7,1/19/2011,1/26/2011,1/31/2011,3400,1,3400
SO43791,5485,19,1/19/2011,1/26/2011,1/31/2011,3578,1,3578
SO43792,5624,17,1/19/2011,1/26/2011,1/31/2011,3578,1,3578
SO43793,1,7,1/19/2011,1/26/2011,1/31/2011,3400,1,3400
SO43794,30,10,1/19/2011,1/26/2011,1/31/2011,3400,1,3400
SO43795,16616,17,1/20/2011,1/27/2011,2/1/2011,3578,1,3578
SO43796,6957,38,1/20/2011,1/27/2011,2/1/2011,699,1,699
SO43797,5346,17,1/20/2011,1/27/2011,2/1/2011,3578,1,3578
SO43798,5522,20,1/20/2011,1/27/2011,2/1/2011,3578,1,3578
SO43799,5637,17,1/20/2011,1/27/2011,2/1/2011,3578,1,3578
SO43800,10711,16,1/21/2011,1/28/2011,2/2/2011,3578,1,3578
SO43801,2584,16,1/21/2011,1/28/2011,2/2/2011,3578,1,3578
SO43802,594,17,1/21/2011,1/28/2011,2/2/2011,3578,1,3578
SO43803,10742,19,1/22/2011,1/29/2011,2/3/2011,3578,1,3578
SO43804,2586,20,1/22/2011,1/29/2011,2/3/2011,3578,1,3578
SO43805,3511,43,1/22/2011,1/29/2011,2/3/2011,699,1,699
SO43806,5524,17,1/22/2011,1/29/2011,2/3/2011,3578,1,3578
SO43807,612,17,1/23/2011,1/30/2011,2/4/2011,3578,1,3578
SO43808,2260,18,1/23/2011,1/30/2011,2/4/2011,3578,1,3578
SO43809,5351,20,1/23/2011,1/30/2011,2/4/2011,3578,1,3578
SO43810,5,8,1/23/2011,1/30/2011,2/4/2011,3400,1,3400
SO43811,27,9,1/23/2011,1/30/2011,2/4/2011,3400,1,3400
SO43812,16663,17,1/24/2011,1/31/2011,2/5/2011,3578,1,3578
SO43813,17391,5,1/24/2011,1/31/2011,2/5/2011,3375,1,3375
SO43814,14867,5,1/24/2011,1/31/2011,2/5/2011,3375,1,3375
SO43815,5495,16,1/24/2011,1/31/2011,2/5/2011,3578,1,3578
SO43816,5497,19,1/24/2011,1/31/2011,2/5/2011,3578,1,3578
SO43817,5520,20,1/24/2011,1/31/2011,2/5/2011,3578,1,3578
SO43818,5529,17,1/24/2011,1/31/2011,2/5/2011,3578,1,3578
SO43819,7,9,1/24/2011,1/31/2011,2/5/2011,3400,1,3400
SO43820,16652,17,1/25/2011,2/1/2011,2/6/2011,3578,1,3578
SO43821,16664,20,1/25/2011,2/1/2011,2/6/2011,3578,1,3578
SO43822,16670,18,1/25/2011,2/1/2011,2/6/2011,3578,1,3578
SO43823,8943,38,1/25/2011,2/1/2011,2/6/2011,699,1,699
SO43824,3559,36,1/25/2011,2/1/2011,2/6/2011,699,1,699
SO43825,5350,18,1/25/2011,2/1/2011,2/6/2011,3578,1,3578
SO43826,9,3,1/25/2011,2/1/2011,2/6/2011,3375,1,3375
SO43827,14251,36,1/25/2011,2/1/2011,2/6/2011,699,1,699
SO43828,16606,20,1/26/2011,2/2/2011,2/7/2011,3578,1,3578
SO43829,16612,20,1/26/2011,2/2/2011,2/7/2011,3578,1,3578
SO43830,5348,16,1/26/2011,2/2/2011,2/7/2011,3578,1,3578
SO43831,29,4,1/26/2011,2/2/2011,2/7/2011,3375,1,3375
SO43832,2585,20,1/26/2011,2/2/2011,2/7/2011,3578,1,3578
SO43833,10728,20,1/27/2011,2/3/2011,2/8/2011,3578,1,3578
SO43834,17394,3,1/27/2011,2/3/2011,2/8/2011,3375,1,3375
SO43835,8803,3,1/27/2011,2/3/2011,2/8/2011,3375,1,3375
SO43836,15621,47,1/27/2011,2/3/2011,2/8/2011,699,1,699
SO43837,10,5,1/27/2011,2/3/2011,2/8/2011,3375,1,3375
SO43838,16642,18,1/28/2011,2/4/2011,2/9/2011,3578,1,3578
SO43839,16674,16,1/28/2011,2/4/2011,2/9/2011,3578,1,3578
SO43840,6958,42,1/28/2011,2/4/2011,2/9/2011,699,1,699
SO43841,2407,19,1/28/2011,2/4/2011,2/9/2011,3578,1,3578
SO43842,5631,17,1/28/2011,2/4/2011,2/9/2011,3578,1,3578
SO43918,11042,18,1/29/2011,2/5/2011,2/10/2011,3578,1,3578
SO43919,1125,19,1/29/2011,2/5/2011,2/10/2011,3578,1,3578
SO43920,17067,18,1/29/2011,2/5/2011,2/10/2011,3578,1,3578
SO43921,5744,18,1/29/2011,2/5/2011,2/10/2011,3578,1,3578
SO43922,2547,20,1/29/2011,2/5/2011,2/10/2011,3578,1,3578
SO43923,17019,17,1/30/2011,2/6/2011,2/11/2011,3578,1,3578
SO43924,1133,20,1/30/2011,2/6/2011,2/11/2011,3578,1,3578
SO43925,5662,19,1/30/2011,2/6/2011,2/11/2011,3578,1,3578
SO43926,56,6,1/31/2011,2/7/2011,2/12/2011,3375,1,3375
SO43927,5663,19,1/31/2011,2/7/2011,2/12/2011,3578,1,3578
SO43928,5741,18,1/31/2011,2/7/2011,2/12/2011,3578,1,3578
SO43929,14271,46,1/31/2011,2/7/2011,2/12/2011,699,1,699
SO43930,17039,17,2/1/2011,2/8/2011,2/13/2011,3578,1,3578
SO43931,2549,18,2/1/2011,2/8/2011,2/13/2011,3578,1,3578
SO43932,5742,19,2/1/2011,2/8/2011,2/13/2011,3578,1,3578
SO43933,32,10,2/1/2011,2/8/2011,2/13/2011,3400,1,3400
SO43934,35,9,2/1/2011,2/8/2011,2/13/2011,3400,1,3400
SO43935,9049,40,2/2/2011,2/9/2011,2/14/2011,699,1,699
SO43936,17066,16,2/2/2011,2/9/2011,2/14/2011,3578,1,3578
SO43937,6048,17,2/2/2011,2/9/2011,2/14/2011,3578,1,3578
SO43938,5687,20,2/2/2011,2/9/2011,2/14/2011,3578,1,3578
SO43939,5660,17,2/2/2011,2/9/2011,2/14/2011,3578,1,3578
SO43940,14295,41,2/2/2011,2/9/2011,2/14/2011,699,1,699
SO43941,2601,19,2/3/2011,2/10/2011,2/15/2011,3578,1,3578
SO43942,6052,20,2/3/2011,2/10/2011,2/15/2011,3578,1,3578
SO43943,3566,36,2/3/2011,2/10/2011,2/15/2011,699,1,699
SO43944,55,7,2/3/2011,2/10/2011,2/15/2011,3400,1,3400
SO43945,5676,20,2/3/2011,2/10/2011,2/15/2011,3578,1,3578
SO43946,5688,18,2/3/2011,2/10/2011,2/15/2011,3578,1,3578
SO43947,5713,20,2/3/2011,2/10/2011,2/15/2011,3578,1,3578
SO43948,48,8,2/3/2011,2/10/2011,2/15/2011,3400,1,3400
SO43949,16727,20,2/4/2011,2/11/2011,2/16/2011,3578,1,3578
SO43950,17015,16,2/4/2011,2/11/2011,2/16/2011,3578,1,3578
SO43951,5697,16,2/4/2011,2/11/2011,2/16/2011,3578,1,3578
SO43952,5640,17,2/4/2011,2/11/2011,2/16/2011,3578,1,3578
SO43953,9050,38,2/5/2011,2/12/2011,2/17/2011,699,1,699
SO43954,2603,16,2/5/2011,2/12/2011,2/17/2011,3578,1,3578
SO43955,2662,19,2/5/2011,2/12/2011,2/17/2011,3578,1,3578
SO43956,31,7,2/5/2011,2/12/2011,2/17/2011,3400,1,3400
SO43957,17069,18,2/6/2011,2/13/2011,2/18/2011,3578,1,3578
SO43958,5659,17,2/6/2011,2/13/2011,2/18/2011,3578,1,3578
SO43959,36,3,2/6/2011,2/13/2011,2/18/2011,3375,1,3375
SO43960,47,4,2/6/2011,2/13/2011,2/18/2011,3375,1,3375
SO43961,17032,16,2/7/2011,2/14/2011,2/19/2011,3578,1,3578
SO43962,17077,17,2/7/2011,2/14/2011,2/19/2011,3578,1,3578
SO43963,5686,19,2/7/2011,2/14/2011,2/19/2011,3578,1,3578
SO43964,5746,17,2/7/2011,2/14/2011,2/19/2011,3578,1,3578
SO43965,39,6,2/7/2011,2/14/2011,2/19/2011,3375,1,3375
SO43966,40,10,2/7/2011,2/14/2011,2/19/2011,3400,1,3400
SO43967,17041,18,2/8/2011,2/15/2011,2/20/2011,3578,1,3578
SO43968,17068,18,2/8/2011,2/15/2011,2/20/2011,3578,1,3578
SO43969,17072,20,2/8/2011,2/15/2011,2/20/2011,3578,1,3578
SO43970,5685,16,2/8/2011,2/15/2011,2/20/2011,3578,1,3578
SO43971,5658,19,2/8/2011,2/15/2011,2/20/2011,3578,1,3578
SO43972,10940,19,2/9/2011,2/16/2011,2/21/2011,3578,1,3578
SO43973,17040,17,2/9/2011,2/16/2011,2/21/2011,3578,1,3578
SO43974,2688,17,2/9/2011,2/16/2011,2/21/2011,3578,1,3578
SO43975,2541,17,2/9/2011,2/16/2011,2/21/2011,3578,1,3578
SO43976,17064,20,2/9/2011,2/16/2011,2/21/2011,3578,1,3578
SO43977,5704,17,2/9/2011,2/16/2011,2/21/2011,3578,1,3578
SO43978,17031,20,2/10/2011,2/17/2011,2/22/2011,3578,1,3578
SO43979,3577,46,2/10/2011,2/17/2011,2/22/2011,699,1,699
SO43980,49,6,2/10/2011,2/17/2011,2/22/2011,3375,1,3375
SO43981,5665,19,2/10/2011,2/17/2011,2/22/2011,3578,1,3578
SO43982,14272,38,2/10/2011,2/17/2011,2/22/2011,699,1,699
SO43983,17018,19,2/11/2011,2/18/2011,2/23/2011,3578,1,3578
SO43984,2546,16,2/11/2011,2/18/2011,2/23/2011,3578,1,3578
SO43985,2516,18,2/11/2011,2/18/2011,2/23/2011,3578,1,3578
SO43986,17071,20,2/11/2011,2/18/2011,2/23/2011,3578,1,3578
SO43987,17043,20,2/12/2011,2/19/2011,2/24/2011,3578,1,3578
SO43988,245,7,2/12/2011,2/19/2011,2/24/2011,3400,1,3400
SO43989,17084,17,2/12/2011,2/19/2011,2/24/2011,3578,1,3578
SO43990,14873,7,2/12/2011,2/19/2011,2/24/2011,3400,1,3400
SO43991,5661,20,2/12/2011,2/19/2011,2/24/2011,3578,1,3578
SO43992,5639,16,2/12/2011,2/19/2011,2/24/2011,3578,1,3578
SO43993,5930,19,2/14/2011,2/21/2011,2/26/2011,3578,1,3578
SO43994,16682,19,2/15/2011,2/22/2011,2/27/2011,3578,1,3578
SO43995,10814,17,2/15/2011,2/22/2011,2/27/2011,3578,1,3578
SO43996,16921,20,2/15/2011,2/22/2011,2/27/2011,3578,1,3578
SO43997,17023,20,2/15/2011,2/22/2011,2/27/2011,3578,1,3578
SO43998,34,3,2/15/2011,2/22/2011,2/27/2011,3375,1,3375
SO43999,17048,16,2/15/2011,2/22/2011,2/27/2011,3578,1,3578
SO44000,16919,16,2/16/2011,2/23/2011,2/28/2011,3578,1,3578
SO44001,17045,18,2/16/2011,2/23/2011,2/28/2011,3578,1,3578
SO44002,3573,41,2/16/2011,2/23/2011,2/28/2011,699,1,699
SO44003,8326,38,2/16/2011,2/23/2011,2/28/2011,699,1,699
SO44004,17062,20,2/16/2011,2/23/2011,2/28/2011,3578,1,3578
SO44005,15630,40,2/16/2011,2/23/2011,2/28/2011,699,1,699
SO44006,5745,20,2/16/2011,2/23/2011,2/28/2011,3578,1,3578
SO44007,14556,45,2/16/2011,2/23/2011,2/28/2011,699,1,699
SO44008,16679,17,2/17/2011,2/24/2011,3/1/2011,3578,1,3578
SO44009,16760,19,2/17/2011,2/24/2011,3/1/2011,3578,1,3578
SO44010,2681,20,2/17/2011,2/24/2011,3/1/2011,3578,1,3578
SO44011,2515,20,2/17/2011,2/24/2011,3/1/2011,3578,1,3578
SO44012,53,4,2/17/2011,2/24/2011,3/1/2011,3375,1,3375
SO44013,5929,17,2/17/2011,2/24/2011,3/1/2011,3578,1,3578
SO44014,16918,18,2/18/2011,2/25/2011,3/2/2011,3578,1,3578
SO44015,2694,16,2/18/2011,2/25/2011,3/2/2011,3578,1,3578
SO44016,248,5,2/18/2011,2/25/2011,3/2/2011,3375,1,3375
SO44017,17079,20,2/18/2011,2/25/2011,3/2/2011,3578,1,3578
SO44018,14877,5,2/18/2011,2/25/2011,3/2/2011,3375,1,3375
SO44019,5702,20,2/18/2011,2/25/2011,3/2/2011,3578,1,3578
SO44020,5932,16,2/18/2011,2/25/2011,3/2/2011,3578,1,3578
SO44021,33,3,2/18/2011,2/25/2011,3/2/2011,3375,1,3375
SO44022,11009,18,2/19/2011,2/26/2011,3/3/2011,3578,1,3578
SO44023,8831,4,2/19/2011,2/26/2011,3/3/2011,3375,1,3375
SO44024,5664,19,2/19/2011,2/26/2011,3/3/2011,3578,1,3578
SO44025,5709,19,2/19/2011,2/26/2011,3/3/2011,3578,1,3578
SO44026,6046,20,2/19/2011,2/26/2011,3/3/2011,3578,1,3578
SO44027,10922,20,2/20/2011,2/27/2011,3/4/2011,3578,1,3578
SO44028,6049,17,2/20/2011,2/27/2011,3/4/2011,3578,1,3578
SO44029,51,5,2/20/2011,2/27/2011,3/4/2011,3375,1,3375
SO44030,1132,16,2/21/2011,2/28/2011,3/5/2011,3578,1,3578
SO44031,2690,18,2/21/2011,2/28/2011,3/5/2011,3578,1,3578
SO44032,244,7,2/21/2011,2/28/2011,3/5/2011,3400,1,3400
SO44033,5694,19,2/21/2011,2/28/2011,3/5/2011,3578,1,3578
SO44034,5703,18,2/21/2011,2/28/2011,3/5/2011,3578,1,3578
SO44035,5708,17,2/21/2011,2/28/2011,3/5/2011,3578,1,3578
SO44036,6047,20,2/21/2011,2/28/2011,3/5/2011,3578,1,3578
SO44037,14273,43,2/21/2011,2/28/2011,3/5/2011,699,1,699
SO44038,14869,7,2/21/2011,2/28/2011,3/5/2011,3400,1,3400
SO44039,6972,38,2/22/2011,3/1/2011,3/6/2011,699,1,699
SO44040,58,6,2/22/2011,3/1/2011,3/6/2011,3375,1,3375
SO44041,5743,18,2/22/2011,3/1/2011,3/6/2011,3578,1,3578
SO44042,2679,18,2/23/2011,3/2/2011,3/7/2011,3578,1,3578
SO44043,2680,16,2/23/2011,3/2/2011,3/7/2011,3578,1,3578
SO44044,2691,19,2/23/2011,3/2/2011,3/7/2011,3578,1,3578
SO44045,17395,7,2/23/2011,3/2/2011,3/7/2011,3400,1,3400
SO44046,17065,18,2/23/2011,3/2/2011,3/7/2011,3578,1,3578
SO44047,14879,7,2/23/2011,3/2/2011,3/7/2011,3400,1,3400
SO44048,5714,19,2/23/2011,3/2/2011,3/7/2011,3578,1,3578
SO44049,2539,19,2/24/2011,3/3/2011,3/8/2011,3578,1,3578
SO44050,6051,20,2/24/2011,3/3/2011,3/8/2011,3578,1,3578
SO44051,2692,20,2/25/2011,3/4/2011,3/9/2011,3578,1,3578
SO44052,5638,19,2/25/2011,3/4/2011,3/9/2011,3578,1,3578
SO44053,8330,36,2/26/2011,3/5/2011,3/10/2011,699,1,699
SO44054,2543,19,2/26/2011,3/5/2011,3/10/2011,3578,1,3578
SO44055,2544,20,2/26/2011,3/5/2011,3/10/2011,3578,1,3578
SO44056,2560,19,2/26/2011,3/5/2011,3/10/2011,3578,1,3578
SO44057,3578,36,2/26/2011,3/5/2011,3/10/2011,699,1,699
SO44058,57,5,2/26/2011,3/5/2011,3/10/2011,3375,1,3375
SO44059,5689,18,2/26/2011,3/5/2011,3/10/2011,3578,1,3578
SO44060,14274,38,2/26/2011,3/5/2011,3/10/2011,699,1,699
SO44061,16920,20,2/27/2011,3/6/2011,3/11/2011,3578,1,3578
SO44062,17042,20,2/27/2011,3/6/2011,3/11/2011,3578,1,3578
SO44063,241,7,2/27/2011,3/6/2011,3/11/2011,3400,1,3400
SO44064,11051,20,2/27/2011,3/6/2011,3/11/2011,3578,1,3578
SO44065,17063,20,2/27/2011,3/6/2011,3/11/2011,3578,1,3578
SO44066,14868,7,2/27/2011,3/6/2011,3/11/2011,3400,1,3400
SO44067,6050,20,2/27/2011,3/6/2011,3/11/2011,3578,1,3578
SO44068,2542,18,2/28/2011,3/7/2011,3/12/2011,3578,1,3578
SO44069,17396,4,2/28/2011,3/7/2011,3/12/2011,3375,1,3375
SO44070,8830,4,2/28/2011,3/7/2011,3/12/2011,3375,1,3375
SO44071,5692,18,2/28/2011,3/7/2011,3/12/2011,3578,1,3578
SO44072,5657,16,2/28/2011,3/7/2011,3/12/2011,3578,1,3578
SO44073,45,6,2/28/2011,3/7/2011,3/12/2011,3375,1,3375
SO44134,2822,20,3/1/2011,3/8/2011,3/13/2011,3578,1,3578
SO44135,17157,20,3/1/2011,3/8/2011,3/13/2011,3578,1,3578
SO44136,11115,16,3/1/2011,3/8/2011,3/13/2011,3578,1,3578
SO44137,6329,19,3/1/2011,3/8/2011,3/13/2011,3578,1,3578
SO44138,2766,20,3/2/2011,3/9/2011,3/14/2011,3578,1,3578
SO44139,2793,16,3/2/2011,3/9/2011,3/14/2011,3578,1,3578
SO44140,1222,16,3/2/2011,3/9/2011,3/14/2011,3578,1,3578
SO44141,2573,18,3/2/2011,3/9/2011,3/14/2011,3578,1,3578
SO44142,11059,18,3/2/2011,3/9/2011,3/14/2011,3578,1,3578
SO44143,17146,18,3/2/2011,3/9/2011,3/14/2011,3578,1,3578
SO44144,6072,17,3/2/2011,3/9/2011,3/14/2011,3578,1,3578
SO44145,6310,20,3/2/2011,3/9/2011,3/14/2011,3578,1,3578
SO44146,6311,18,3/2/2011,3/9/2011,3/14/2011,3578,1,3578
SO44147,6321,20,3/2/2011,3/9/2011,3/14/2011,3578,1,3578
SO44148,17173,20,3/3/2011,3/10/2011,3/15/2011,3578,1,3578
SO44149,6243,17,3/3/2011,3/10/2011,3/15/2011,3578,1,3578
SO44150,6316,17,3/3/2011,3/10/2011,3/15/2011,3578,1,3578
SO44151,14559,43,3/3/2011,3/10/2011,3/15/2011,699,1,699
SO44152,335,9,3/4/2011,3/11/2011,3/16/2011,3400,1,3400
SO44153,17169,17,3/4/2011,3/11/2011,3/16/2011,3578,1,3578
SO44154,17182,16,3/4/2011,3/11/2011,3/16/2011,3578,1,3578
SO44155,17132,18,3/4/2011,3/11/2011,3/16/2011,3578,1,3578
SO44156,14888,9,3/4/2011,3/11/2011,3/16/2011,3400,1,3400
SO44157,6056,19,3/4/2011,3/11/2011,3/16/2011,3578,1,3578
SO44158,2568,16,3/5/2011,3/12/2011,3/17/2011,3578,1,3578
SO44159,17183,16,3/5/2011,3/12/2011,3/17/2011,3578,1,3578
SO44160,17187,17,3/5/2011,3/12/2011,3/17/2011,3578,1,3578
SO44161,2773,19,3/6/2011,3/13/2011,3/18/2011,3578,1,3578
SO44162,17186,16,3/6/2011,3/13/2011,3/18/2011,3578,1,3578
SO44163,17194,19,3/6/2011,3/13/2011,3/18/2011,3578,1,3578
SO44164,17089,20,3/6/2011,3/13/2011,3/18/2011,3578,1,3578
SO44165,6066,18,3/6/2011,3/13/2011,3/18/2011,3578,1,3578
SO44166,3582,36,3/6/2011,3/13/2011,3/18/2011,699,1,699
SO44167,6309,19,3/6/2011,3/13/2011,3/18/2011,3578,1,3578
SO44168,1212,18,3/7/2011,3/14/2011,3/19/2011,3578,1,3578
SO44169,17180,16,3/7/2011,3/14/2011,3/19/2011,3578,1,3578
SO44170,17184,19,3/7/2011,3/14/2011,3/19/2011,3578,1,3578
SO44171,17113,18,3/7/2011,3/14/2011,3/19/2011,3578,1,3578
SO44172,3585,36,3/7/2011,3/14/2011,3/19/2011,699,1,699
SO44173,2785,17,3/8/2011,3/15/2011,3/20/2011,3578,1,3578
SO44174,6230,16,3/8/2011,3/15/2011,3/20/2011,3578,1,3578
SO44175,6247,18,3/8/2011,3/15/2011,3/20/2011,3578,1,3578
SO44176,1221,19,3/9/2011,3/16/2011,3/21/2011,3578,1,3578
SO44177,338,5,3/9/2011,3/16/2011,3/21/2011,3375,1,3375
SO44178,17098,17,3/9/2011,3/16/2011,3/21/2011,3578,1,3578
SO44179,14889,5,3/9/2011,3/16/2011,3/21/2011,3375,1,3375
SO44180,59,10,3/9/2011,3/16/2011,3/21/2011,3400,1,3400
SO44181,6295,17,3/9/2011,3/16/2011,3/21/2011,3578,1,3578
SO44182,6300,20,3/9/2011,3/16/2011,3/21/2011,3578,1,3578
SO44183,17159,20,3/10/2011,3/17/2011,3/22/2011,3578,1,3578
SO44184,6248,19,3/10/2011,3/17/2011,3/22/2011,3578,1,3578
SO44185,6281,20,3/10/2011,3/17/2011,3/22/2011,3578,1,3578
SO44186,14890,10,3/12/2011,3/19/2011,3/24/2011,3400,1,3400
SO44187,6070,18,3/12/2011,3/19/2011,3/24/2011,3578,1,3578
SO44188,9053,40,3/13/2011,3/20/2011,3/25/2011,699,1,699
SO44189,9055,46,3/13/2011,3/20/2011,3/25/2011,699,1,699
SO44190,62,3,3/13/2011,3/20/2011,3/25/2011,3375,1,3375
SO44191,6249,20,3/13/2011,3/20/2011,3/25/2011,3578,1,3578
